sample_id,condition,batch,study_id,repository,omics
PRIDE_SYNTH_0_S0,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S1,disease,batch_1,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S2,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S3,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S4,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S5,disease,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S6,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S7,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S8,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S9,disease,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S10,control,batch_1,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S11,control,batch_1,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S12,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S13,control,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S14,disease,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S15,control,batch_1,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S16,disease,batch_2,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S17,disease,batch_1,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S18,disease,batch_1,PRIDE_SYNTH_0,pride,proteomics
PRIDE_SYNTH_0_S19,control,batch_1,PRIDE_SYNTH_0,pride,proteomics
